name,ring,quadrant,isNew,description
Amazon Athena,fundamental,(Managed) Services,FALSE,"[AWS Athena](https://aws.amazon.com/de/athena/) is a managed Presto service. In combination with the AWS Glue Data Catalog it enables you to query S3 data with SQL. It supports CSV, JSON, ORC, Avro and Parquet. It is especially useful to do first data explorations."
Amazon CloudWatch,fundamental,(Managed) Services,FALSE,"Although we recognise the limitation of CloudWatch, we also acknowledge that it is highly integrated with all other AWS services and provides a baseline monitoring and reaction capability valuable to us."
Amazon Code Tools,fundamental,(Managed) Services,FALSE,"New deployments started to use AWS CodeBuild, CodePipeline and CodeDeploy as CI/CD tool chain. This allows, that the pipelines are created via code, that is part of the service repsository."
Amazon Corretto,fundamental,Libraries and Frameworks,FALSE,
Amazon ECS,fundamental,(Managed) Services,FALSE,Most of our workloads are running as containers on ECS. We like that the fully managed container scheduler frees us of the operational burden.
Amazon Fargate,fundamental,(Managed) Services,FALSE,"AWS Fargate is a recent entry into the docker-as-a-service space, currently limited to the US-East-1 region. For teams using AWS Elastic Container Service (ECS), AWS Fargate is a good alternative without having to manage, provision and configure any underlying EC2 instances or clusters. Fargate allows defining (ECS or EKS – ECS for Kubernetes) tasks as a Fargate type, and they will run on the AWS Fargate infrastructure. If you like the focus on business functionality that AWS Lambda gives you, Fargate is the closest you can get when applications can't be deployed as single functions."
Amazon Glue ETL,fundamental,(Managed) Services,FALSE,[AWS Glue](https://aws.amazon.com/de/glue/) is a managed ETL service. It can be used to batch process data in reoccurring jobs. Under the hood Glue runs your code in Apache Spark.
Amazon Quicksight,fundamental,(Managed) Services,FALSE,"[AWS Quicksight](https://aws.amazon.com/de/quicksight/) is a cloud based BI service. In an AWS environment it is lightweight and it is able to connect to S3, S3 via Athena, Redshift and many other data sources. Quicksight enables users to query data either with SQL or with a graphical tool. Results can be visualized on Dashboards."
Amazon Web Services - AWS,fundamental,(Managed) Services,FALSE,"AWS is our default provider for IaaS and PaaS. We prefer AWS platform services over other managed services, over self-hosted OSS and over self-built solutions."
API first,fundamental,Techniques,FALSE,"The idea of <a href=""https://www.programmableweb.com/api-university/understanding-api-first-design"">API first</a> is to develop the API together with the stakeholders before starting with the implementation. The benefit is to get feedback early and think more about the requirements for the API instead of the implementation details. For us the service interface includes published events which should go through the same design process."
AWS CDK,fundamental,(Managed) Services,FALSE,"The <a href=""https://docs.aws.amazon.com/cdk/index.html"">AWS Cloud Development Kit (CDK)</a> is a software development framework for defining infrastructure as code imperatively in multiple languages. It uses CloudFormation to provision the infrastructure.Compared to the declarative approach, CDK has a bit more complex setup, but offers many high level Constructs which abstracts away lot of details which leads to less lines of code. In addition, teams can build and share their own Constructs and benefit from others learnings."
AWS DynamoDB,fundamental,(Managed) Services,FALSE,"DynamoDB is used for all services where its capabilities are sufficient, we recommend to use it. It is a fully managed, highly scalable, low latency NoSQL database."
Continuous Delivery,fundamental,Techniques,FALSE,"If you are wondering “What comes after agile?,” you should look towards continuous delivery. While your development processes may be fully optimized, it still might take your organization weeks or months to get a single change into production. Continuous delivery focuses on maximizing automation including infrastructure as code, environment management and deployment automation to ensure your system is always ready for production. It is about tightening your feedback loops and not putting off anything until the end. Continuous delivery is not the same as continuous deployment, which means deploying every change to production. Continuous delivery is not a cowboy show. It puts you in charge of your production environment. The business can pick and choose what and when to deploy. If you think you’ve nailed agile development, but aren’t considering how to achieve continuous delivery, you really haven’t even started."
DataDog,fundamental,(Managed) Services,FALSE,
DDD,fundamental,Techniques,FALSE,
AWS DynamoDB,fundamental,(Managed) Services,FALSE,"DynamoDB is used for all services where its capabilities are sufficient, we recommend to use it. It is a fully managed, highly scalable, low latency NoSQL database."
ESLint,fundamental,Libraries and Frameworks,FALSE,
Featuer Toggles,fundamental,Techniques,FALSE,For [Feature Toggles](https://martinfowler.com/articles/feature-toggles.html) we use [split.io](https://www.split.io/) to manage feature toggles of released applications. For short living toggles or for prototypes one could also cosider to use url based feature toggles instead.
Gradle,fundamental,Libraries and Frameworks,FALSE,
Kafka,fundamental,(Managed) Services,FALSE,"Kafka is our central infrastructure, that powers our streaming, messaging, queueing and replication."
Kotlin for backend,fundamental,Languanges,FALSE,"<a href=""http://kotlinlang.org/"">Kotlin</a> has experienced an accelerated rate of adoption and rapid growth of tooling support. Some of the reasons behind its popularity are its concise syntax, null safety, ease of transition from Java and interoperability with other JVM-based languages in general, and that it doubles as a great introductory language to functional programming. With JetBrains adding the ability to compile Kotlin to native binarieson multiple platforms, as well as transpile to JavaScript, we believe it has the potential of much wider use by the larger community of mobile and native application developers. Although at the time of writing, some of the tooling such as static and coverage code analysis have yet to mature, given our experience of using Kotlin in many production applications, we believe Kotlin is ready for general adoption."
Microservices,fundamental,Techniques,FALSE,
MongoDB Atlas,fundamental,(Managed) Services,FALSE,"[MongoDB Atlas](https://www.mongodb.com/cloud/atlas) is a highly available, fully managed database. Our default option for all services requiring a document database."
Multi AWS accounts,fundamental,Techniques,FALSE,"To decouple our bounded contexts and to limit the blast radius, we are moving from a single production account to multiple accounts.  One AWS account per bounded context."
npm,fundamental,Libraries and Frameworks,FALSE,
